"Prioridade","Arquivo","Linhas","Tamanho"
"MÉDIA","lib\checkin\devices\TabletInterface.js","1","0"
"MÉDIA","lib\checkin\notifications\FirebaseV1Adapter.js","1","0"
"MÉDIA","lib\checkin\notifications\PushNotificationService.js","1","0"
"MÉDIA","lib\checkin\offline\OfflineManager.js","1","0"
"MÉDIA","lib\checkin\validation\HealthScreening.js","202","7,2"
"MÉDIA","lib\checkin\CheckInSystem.js","1","0"
"MÉDIA","lib\communication\analytics\AnalyticsEngine.js","690","27,5"
"MÉDIA","lib\communication\automation\AutomationEngine.js","1000","38,3"
"MÉDIA","lib\communication\automation\index.js","786","24,4"
"MÉDIA","lib\communication\channels\BaseChannel.js","288","10,1"
"MÉDIA","lib\communication\channels\EmailChannel.js","469","18,1"
"MÉDIA","lib\communication\channels\index.js","320","11,6"
"MÉDIA","lib\communication\channels\PushChannel.js","460","17,8"
"MÉDIA","lib\communication\channels\ResendEmailChannel.js","322","11,3"
"MÉDIA","lib\communication\channels\WhatsAppChannel.js","442","17,7"
"MÉDIA","lib\communication\core\MessageBus.js","631","23,7"
"MÉDIA","lib\communication\mocks\handlebars-mock.js","28","0,9"
"MÉDIA","lib\communication\mocks\whatsapp-web-mock.js","34","0,8"
"MÉDIA","lib\communication\templates\index.js","439","14,9"
"MÉDIA","lib\communication\templates\TemplateEngine.js","641","24,5"
"MÉDIA","lib\communication\templates\TemplateManager.js","523","19,9"
"ALTA","lib\communication\webhooks\index.js","460","15,3"
"ALTA","lib\communication\webhooks\WebhookHandler.js","625","22,7"
"MÉDIA","lib\compliance\COFFITOComplianceService.js","1","0"
"MÉDIA","lib\compliance\ComplianceManager.js","1","0"
"MÉDIA","lib\compliance\index.js","171","5,1"
"MÉDIA","lib\compliance\LGPDComplianceService.js","1","0"
"ALTA","lib\financial\application\services\BillingService.js","238","10,2"
"ALTA","lib\financial\application\services\PaymentService.js","283","11,8"
"ALTA","lib\financial\application\services\ReportingService.js","369","15,3"
"MÉDIA","lib\financial\application\use-cases\CreatePackageUseCase.js","270","11,6"
"MÉDIA","lib\financial\application\use-cases\GenerateInvoiceUseCase.js","292","11,5"
"MÉDIA","lib\financial\application\use-cases\ProcessPaymentUseCase.js","203","8,8"
"MÉDIA","lib\financial\domain\entities\Invoice.js","263","9,1"
"MÉDIA","lib\financial\domain\entities\Package.js","277","9,3"
"MÉDIA","lib\financial\domain\entities\PaymentPlan.js","290","11,3"
"MÉDIA","lib\financial\domain\entities\Transaction.js","258","9,2"
"MÉDIA","lib\financial\domain\errors\DomainError.js","27","0,7"
